Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address,Month,Month_Number
176573,USB-C Charging Cable,1,11.95,2019-04-27 18:41:00,"214 Chestnut St, San Francisco, CA 94016",April,4
176574,Google Phone,1,600.0,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",April,4
176574,USB-C Charging Cable,1,11.95,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",April,4
176575,AAA Batteries (4-pack),1,2.99,2019-04-27 00:30:00,"433 Hill St, New York City, NY 10001",April,4
176576,Apple Airpods Headphones,1,150.0,2019-04-28 11:42:00,"771 Ridge St, Los Angeles, CA 90001",April,4
176577,Apple Airpods Headphones,1,150.0,2019-04-04 19:25:00,"260 Spruce St, Dallas, TX 75001",April,4
176578,Apple Airpods Headphones,1,150.0,2019-04-09 23:35:00,"513 Church St, Boston, MA 02215",April,4
176579,AA Batteries (4-pack),1,3.84,2019-04-11 10:23:00,"886 Jefferson St, New York City, NY 10001",April,4
176580,USB-C Charging Cable,1,11.95,2019-04-05 00:35:00,"886 Willow St, Los Angeles, CA 90001",April,4
176581,iPhone,1,700.0,2019-04-09 21:38:00,"84 Jackson St, Boston, MA 02215",April,4
176582,Bose SoundSport Headphones,1,99.99,2019-04-27 12:20:00,"178 Lincoln St, Atlanta, GA 30301",April,4
176583,AAA Batteries (4-pack),2,2.99,2019-04-20 12:00:00,"146 Jackson St, Portland, OR 97035",April,4
176584,Flatscreen TV,1,300.0,2019-04-24 20:39:00,"936 Church St, San Francisco, CA 94016",April,4
176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",April,4
176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",April,4
176586,AAA Batteries (4-pack),2,2.99,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",April,4
176586,Google Phone,1,600.0,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",April,4
176587,27in FHD Monitor,1,149.99,2019-04-29 19:38:00,"557 5th St, Los Angeles, CA 90001",April,4
176588,20in Monitor,1,109.99,2019-04-02 04:00:00,"765 Cherry St, Seattle, WA 98101",April,4
176589,Lightning Charging Cable,1,14.95,2019-04-04 12:23:00,"846 Highland St, Atlanta, GA 30301",April,4
176590,Google Phone,1,600.0,2019-04-11 11:46:00,"873 6th St, New York City, NY 10001",April,4
176591,Apple Airpods Headphones,1,150.0,2019-04-21 07:21:00,"600 Maple St, Austin, TX 73301",April,4
176592,USB-C Charging Cable,1,11.95,2019-04-27 13:04:00,"352 4th St, Los Angeles, CA 90001",April,4
176593,Lightning Charging Cable,2,14.95,2019-04-15 13:45:00,"906 7th St, Portland, OR 97035",April,4
176594,Wired Headphones,1,11.99,2019-04-17 23:04:00,"63 Maple St, San Francisco, CA 94016",April,4
176595,Wired Headphones,3,11.99,2019-04-02 09:11:00,"383 6th St, Los Angeles, CA 90001",April,4
176596,Apple Airpods Headphones,1,150.0,2019-04-27 20:11:00,"572 Meadow St, Dallas, TX 75001",April,4
176597,USB-C Charging Cable,1,11.95,2019-04-19 13:39:00,"681 11th St, San Francisco, CA 94016",April,4
176598,AAA Batteries (4-pack),2,2.99,2019-04-21 20:33:00,"294 Park St, San Francisco, CA 94016",April,4
176599,Lightning Charging Cable,1,14.95,2019-04-11 15:25:00,"279 Maple St, New York City, NY 10001",April,4
176600,27in 4K Gaming Monitor,1,389.99,2019-04-30 15:54:00,"87 West St, Boston, MA 02215",April,4
176601,USB-C Charging Cable,1,11.95,2019-04-02 22:32:00,"754 10th St, Los Angeles, CA 90001",April,4
176602,Lightning Charging Cable,1,14.95,2019-04-30 09:39:00,"9 Jefferson St, Dallas, TX 75001",April,4
176603,USB-C Charging Cable,1,11.95,2019-04-01 07:46:00,"858 6th St, San Francisco, CA 94016",April,4
176604,USB-C Charging Cable,1,11.95,2019-04-02 10:57:00,"462 11th St, San Francisco, CA 94016",April,4
176605,USB-C Charging Cable,1,11.95,2019-04-15 16:29:00,"717 Pine St, San Francisco, CA 94016",April,4
176606,LG Dryer,1,600.0,2019-04-21 14:16:00,"487 Maple St, San Francisco, CA 94016",April,4
176607,AAA Batteries (4-pack),2,2.99,2019-04-18 12:11:00,"689 10th St, Boston, MA 02215",April,4
176608,iPhone,1,700.0,2019-04-11 12:01:00,"15 Cherry St, San Francisco, CA 94016",April,4
176609,Apple Airpods Headphones,1,150.0,2019-04-11 16:59:00,"267 11th St, Austin, TX 73301",April,4
176610,AAA Batteries (4-pack),1,2.99,2019-04-26 00:40:00,"382 River St, Dallas, TX 75001",April,4
176611,Bose SoundSport Headphones,1,99.99,2019-04-30 13:16:00,"971 Sunset St, San Francisco, CA 94016",April,4
176612,Apple Airpods Headphones,1,150.0,2019-04-04 19:48:00,"149 North St, Seattle, WA 98101",April,4
176613,USB-C Charging Cable,2,11.95,2019-04-26 18:58:00,"405 4th St, New York City, NY 10001",April,4
176614,AA Batteries (4-pack),1,3.84,2019-04-07 21:01:00,"647 Jackson St, San Francisco, CA 94016",April,4
176615,Lightning Charging Cable,1,14.95,2019-04-30 10:35:00,"833 River St, Dallas, TX 75001",April,4
176616,USB-C Charging Cable,1,11.95,2019-04-05 20:40:00,"380 Washington St, San Francisco, CA 94016",April,4
176617,Apple Airpods Headphones,1,150.0,2019-04-25 08:03:00,"319 8th St, Portland, OR 97035",April,4
176618,Lightning Charging Cable,2,14.95,2019-04-18 21:44:00,"273 South St, San Francisco, CA 94016",April,4
176619,Flatscreen TV,1,300.0,2019-04-16 18:37:00,"116 North St, Los Angeles, CA 90001",April,4
176620,USB-C Charging Cable,1,11.95,2019-04-17 10:39:00,"994 Pine St, Los Angeles, CA 90001",April,4
176621,Lightning Charging Cable,1,14.95,2019-04-11 16:09:00,"863 8th St, Boston, MA 02215",April,4
176622,AA Batteries (4-pack),1,3.84,2019-04-11 20:16:00,"983 11th St, San Francisco, CA 94016",April,4
176623,27in FHD Monitor,1,149.99,2019-04-20 23:51:00,"807 12th St, Atlanta, GA 30301",April,4
176624,AA Batteries (4-pack),1,3.84,2019-04-28 10:44:00,"664 Church St, Seattle, WA 98101",April,4
176625,AAA Batteries (4-pack),2,2.99,2019-04-24 19:00:00,"858 5th St, San Francisco, CA 94016",April,4
176626,Bose SoundSport Headphones,1,99.99,2019-04-01 21:40:00,"491 Chestnut St, Boston, MA 02215",April,4
176627,Wired Headphones,1,11.99,2019-04-21 14:57:00,"994 13th St, Atlanta, GA 30301",April,4
176628,Lightning Charging Cable,2,14.95,2019-04-15 04:03:00,"628 Wilson St, Dallas, TX 75001",April,4
176629,USB-C Charging Cable,1,11.95,2019-04-24 11:56:00,"101 Lincoln St, San Francisco, CA 94016",April,4
176630,Google Phone,1,600.0,2019-04-10 05:01:00,"770 Maple St, San Francisco, CA 94016",April,4
176631,USB-C Charging Cable,1,11.95,2019-04-13 18:48:00,"292 Dogwood St, San Francisco, CA 94016",April,4
176632,AAA Batteries (4-pack),1,2.99,2019-04-14 14:28:00,"814 Madison St, San Francisco, CA 94016",April,4
176633,ThinkPad Laptop,1,999.99,2019-04-23 14:03:00,"863 Hickory St, Los Angeles, CA 90001",April,4
176634,Lightning Charging Cable,1,14.95,2019-04-10 08:00:00,"311 Madison St, Atlanta, GA 30301",April,4
176635,Vareebadd Phone,1,400.0,2019-04-26 09:55:00,"85 North St, San Francisco, CA 94016",April,4
176636,AA Batteries (4-pack),1,3.84,2019-04-30 20:37:00,"140 10th St, Boston, MA 02215",April,4
176637,AAA Batteries (4-pack),1,2.99,2019-04-17 10:03:00,"261 Sunset St, New York City, NY 10001",April,4
176638,USB-C Charging Cable,1,11.95,2019-04-20 08:33:00,"869 Cherry St, Boston, MA 02215",April,4
176639,Macbook Pro Laptop,1,1700.0,2019-04-28 16:14:00,"853 Cedar St, San Francisco, CA 94016",April,4
176640,Wired Headphones,2,11.99,2019-04-27 22:54:00,"164 Lake St, San Francisco, CA 94016",April,4
176641,Lightning Charging Cable,1,14.95,2019-04-25 21:36:00,"655 Sunset St, Boston, MA 02215",April,4
176642,AA Batteries (4-pack),1,3.84,2019-04-17 18:38:00,"72 Elm St, Portland, OR 97035",April,4
176643,Macbook Pro Laptop,1,1700.0,2019-04-27 21:32:00,"373 Adams St, Boston, MA 02215",April,4
176644,USB-C Charging Cable,1,11.95,2019-04-23 02:09:00,"962 7th St, Los Angeles, CA 90001",April,4
176645,AAA Batteries (4-pack),3,2.99,2019-04-26 18:38:00,"514 Lake St, Dallas, TX 75001",April,4
176646,Macbook Pro Laptop,1,1700.0,2019-04-22 07:14:00,"657 Adams St, Portland, OR 97035",April,4
176647,Google Phone,1,600.0,2019-04-21 19:40:00,"273 South St, Los Angeles, CA 90001",April,4
176648,27in FHD Monitor,1,149.99,2019-04-24 01:17:00,"732 2nd St, Portland, OR 97035",April,4
176649,USB-C Charging Cable,1,11.95,2019-04-09 08:49:00,"702 11th St, San Francisco, CA 94016",April,4
176650,Lightning Charging Cable,1,14.95,2019-04-12 16:47:00,"153 River St, Boston, MA 02215",April,4
176651,iPhone,1,700.0,2019-04-07 13:14:00,"997 South St, Boston, MA 02215",April,4
176652,LG Washing Machine,1,600.0,2019-04-09 20:04:00,"502 14th St, New York City, NY 10001",April,4
176653,AA Batteries (4-pack),1,3.84,2019-04-26 19:20:00,"285 Chestnut St, San Francisco, CA 94016",April,4
176654,USB-C Charging Cable,1,11.95,2019-04-15 19:35:00,"880 Lakeview St, Seattle, WA 98101",April,4
176655,Apple Airpods Headphones,1,150.0,2019-04-11 19:36:00,"848 Center St, San Francisco, CA 94016",April,4
176656,Google Phone,1,600.0,2019-04-12 16:42:00,"12 Lakeview St, New York City, NY 10001",April,4
176657,ThinkPad Laptop,1,999.99,2019-04-23 10:16:00,"774 Forest St, Los Angeles, CA 90001",April,4
176658,AAA Batteries (4-pack),2,2.99,2019-04-22 08:51:00,"573 Pine St, San Francisco, CA 94016",April,4
176659,20in Monitor,1,109.99,2019-04-29 14:40:00,"804 Church St, Dallas, TX 75001",April,4
176660,AA Batteries (4-pack),1,3.84,2019-04-16 17:10:00,"267 West St, Boston, MA 02215",April,4
176661,Wired Headphones,1,11.99,2019-04-25 20:40:00,"522 6th St, Atlanta, GA 30301",April,4
176662,34in Ultrawide Monitor,1,379.99,2019-04-05 12:46:00,"678 Hickory St, Portland, OR 97035",April,4
176663,Bose SoundSport Headphones,1,99.99,2019-04-05 11:48:00,"450 Johnson St, Seattle, WA 98101",April,4
176664,AAA Batteries (4-pack),1,2.99,2019-04-13 18:59:00,"544 Madison St, Los Angeles, CA 90001",April,4
176665,ThinkPad Laptop,1,999.99,2019-04-07 14:15:00,"927 13th St, Dallas, TX 75001",April,4
176666,Wired Headphones,1,11.99,2019-04-08 16:50:00,"382 Forest St, Seattle, WA 98101",April,4
176667,27in 4K Gaming Monitor,1,389.99,2019-04-11 00:39:00,"92 11th St, Los Angeles, CA 90001",April,4
176668,AA Batteries (4-pack),1,3.84,2019-04-15 20:46:00,"56 2nd St, Dallas, TX 75001",April,4
176669,27in FHD Monitor,1,149.99,2019-04-08 12:57:00,"506 Jackson St, Dallas, TX 75001",April,4
176670,Apple Airpods Headphones,1,150.0,2019-04-25 21:23:00,"892 Willow St, San Francisco, CA 94016",April,4
176671,AAA Batteries (4-pack),2,2.99,2019-04-23 16:31:00,"738 Jefferson St, New York City, NY 10001",April,4
176672,Lightning Charging Cable,1,14.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",April,4
176672,USB-C Charging Cable,1,11.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",April,4
176673,20in Monitor,1,109.99,2019-04-10 08:17:00,"952 1st St, Boston, MA 02215",April,4
176674,AAA Batteries (4-pack),3,2.99,2019-04-20 20:53:00,"907 West St, Austin, TX 73301",April,4
176675,AAA Batteries (4-pack),1,2.99,2019-04-02 09:02:00,"933 Meadow St, Seattle, WA 98101",April,4
176676,LG Dryer,1,600.0,2019-04-09 00:35:00,"788 Lincoln St, Los Angeles, CA 90001",April,4
176677,34in Ultrawide Monitor,1,379.99,2019-04-01 11:50:00,"661 Washington St, Austin, TX 73301",April,4
176678,AA Batteries (4-pack),2,3.84,2019-04-19 22:12:00,"345 Sunset St, San Francisco, CA 94016",April,4
176679,Apple Airpods Headphones,1,150.0,2019-04-16 11:12:00,"245 West St, Boston, MA 02215",April,4
176680,USB-C Charging Cable,1,11.95,2019-04-13 11:28:00,"368 Main St, Los Angeles, CA 90001",April,4
176681,Apple Airpods Headphones,1,150.0,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",April,4
176681,ThinkPad Laptop,1,999.99,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",April,4
176682,Lightning Charging Cable,1,14.95,2019-04-27 06:19:00,"593 Adams St, Boston, MA 02215",April,4
176683,AA Batteries (4-pack),1,3.84,2019-04-03 13:54:00,"253 Willow St, Los Angeles, CA 90001",April,4
176684,USB-C Charging Cable,1,11.95,2019-04-17 00:51:00,"293 Washington St, Los Angeles, CA 90001",April,4
176685,34in Ultrawide Monitor,1,379.99,2019-04-23 22:53:00,"114 10th St, New York City, NY 10001",April,4
176686,Wired Headphones,1,11.99,2019-04-17 15:17:00,"892 10th St, Austin, TX 73301",April,4
176687,Macbook Pro Laptop,1,1700.0,2019-04-30 10:26:00,"121 Wilson St, Los Angeles, CA 90001",April,4
176688,Flatscreen TV,1,300.0,2019-04-20 18:25:00,"229 Church St, San Francisco, CA 94016",April,4
176689,Bose SoundSport Headphones,1,99.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",April,4
176689,AAA Batteries (4-pack),2,2.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",April,4
176690,20in Monitor,1,109.99,2019-04-04 18:33:00,"873 Sunset St, San Francisco, CA 94016",April,4
176691,AAA Batteries (4-pack),1,2.99,2019-04-12 11:57:00,"991 Lincoln St, Los Angeles, CA 90001",April,4
176692,Wired Headphones,1,11.99,2019-04-08 18:21:00,"290 Forest St, San Francisco, CA 94016",April,4
176693,AA Batteries (4-pack),1,3.84,2019-04-22 09:00:00,"252 Walnut St, San Francisco, CA 94016",April,4
176694,USB-C Charging Cable,1,11.95,2019-04-05 20:46:00,"985 Washington St, Atlanta, GA 30301",April,4
176695,AA Batteries (4-pack),2,3.84,2019-04-12 20:50:00,"709 Lake St, Seattle, WA 98101",April,4
176696,iPhone,1,700.0,2019-04-07 12:41:00,"343 Johnson St, New York City, NY 10001",April,4
176697,Wired Headphones,1,11.99,2019-04-20 22:38:00,"675 Center St, New York City, NY 10001",April,4
176698,Bose SoundSport Headphones,1,99.99,2019-04-02 16:15:00,"232 Lakeview St, San Francisco, CA 94016",April,4
176699,Bose SoundSport Headphones,1,99.99,2019-04-28 18:04:00,"49 Jefferson St, Boston, MA 02215",April,4
176700,34in Ultrawide Monitor,1,379.99,2019-04-07 23:10:00,"967 Walnut St, Dallas, TX 75001",April,4
176701,USB-C Charging Cable,1,11.95,2019-04-11 13:05:00,"128 Church St, Austin, TX 73301",April,4
176702,AA Batteries (4-pack),1,3.84,2019-04-23 19:44:00,"896 Sunset St, Seattle, WA 98101",April,4
176703,20in Monitor,1,109.99,2019-04-17 10:00:00,"748 Washington St, New York City, NY 10001",April,4
176704,AA Batteries (4-pack),2,3.84,2019-04-17 10:00:00,"909 Center St, Seattle, WA 98101",April,4
176705,Lightning Charging Cable,2,14.95,2019-04-06 09:38:00,"503 8th St, Austin, TX 73301",April,4
176706,Lightning Charging Cable,1,14.95,2019-04-13 13:32:00,"309 South St, New York City, NY 10001",April,4
176707,Apple Airpods Headphones,1,150.0,2019-04-13 10:34:00,"408 Center St, Portland, OR 97035",April,4
176708,Wired Headphones,1,11.99,2019-04-28 23:03:00,"542 Ridge St, New York City, NY 10001",April,4
176709,AA Batteries (4-pack),1,3.84,2019-04-24 14:17:00,"971 Church St, Dallas, TX 75001",April,4
176710,20in Monitor,2,109.99,2019-04-07 10:00:00,"848 West St, Dallas, TX 75001",April,4
176711,Flatscreen TV,1,300.0,2019-04-30 10:58:00,"796 River St, Dallas, TX 75001",April,4
176712,Google Phone,1,600.0,2019-04-20 05:21:00,"910 Washington St, San Francisco, CA 94016",April,4
176713,Wired Headphones,1,11.99,2019-04-21 10:48:00,"498 Walnut St, San Francisco, CA 94016",April,4
176714,USB-C Charging Cable,1,11.95,2019-04-26 23:34:00,"303 Spruce St, Los Angeles, CA 90001",April,4
176715,Apple Airpods Headphones,1,150.0,2019-04-27 16:43:00,"258 Jefferson St, San Francisco, CA 94016",April,4
176716,Wired Headphones,1,11.99,2019-04-24 14:43:00,"794 7th St, Los Angeles, CA 90001",April,4
176717,Apple Airpods Headphones,1,150.0,2019-04-19 10:34:00,"490 Lakeview St, Atlanta, GA 30301",April,4
176718,Lightning Charging Cable,1,14.95,2019-04-22 19:14:00,"672 Sunset St, Los Angeles, CA 90001",April,4
176719,Flatscreen TV,1,300.0,2019-04-27 13:07:00,"602 Hickory St, Boston, MA 02215",April,4
176720,Lightning Charging Cable,1,14.95,2019-04-21 10:35:00,"556 South St, Portland, OR 97035",April,4
176721,AAA Batteries (4-pack),1,2.99,2019-04-26 21:08:00,"469 7th St, San Francisco, CA 94016",April,4
176722,27in 4K Gaming Monitor,1,389.99,2019-04-01 10:57:00,"209 14th St, New York City, NY 10001",April,4
176723,27in 4K Gaming Monitor,1,389.99,2019-04-19 21:31:00,"613 12th St, Portland, OR 97035",April,4
176724,Lightning Charging Cable,1,14.95,2019-04-26 20:59:00,"34 12th St, San Francisco, CA 94016",April,4
176725,AA Batteries (4-pack),2,3.84,2019-04-15 14:33:00,"630 14th St, San Francisco, CA 94016",April,4
176726,USB-C Charging Cable,1,11.95,2019-04-13 18:14:00,"979 8th St, Los Angeles, CA 90001",April,4
176727,Lightning Charging Cable,1,14.95,2019-04-14 14:26:00,"218 Hickory St, Los Angeles, CA 90001",April,4
176728,Lightning Charging Cable,1,14.95,2019-04-21 07:38:00,"516 Park St, Atlanta, GA 30301",April,4
176729,USB-C Charging Cable,1,11.95,2019-04-24 09:57:00,"637 9th St, Seattle, WA 98101",April,4
176730,Bose SoundSport Headphones,1,99.99,2019-04-17 08:27:00,"403 Ridge St, New York City, NY 10001",April,4
176731,AAA Batteries (4-pack),2,2.99,2019-04-21 16:17:00,"36 Lincoln St, San Francisco, CA 94016",April,4
176732,iPhone,1,700.0,2019-04-23 09:33:00,"504 Wilson St, Dallas, TX 75001",April,4
176733,20in Monitor,1,109.99,2019-04-11 13:31:00,"575 Hickory St, San Francisco, CA 94016",April,4
176734,Apple Airpods Headphones,1,150.0,2019-04-03 22:13:00,"611 Jackson St, New York City, NY 10001",April,4
176735,27in FHD Monitor,1,149.99,2019-04-16 23:52:00,"802 Ridge St, Austin, TX 73301",April,4
176736,AA Batteries (4-pack),1,3.84,2019-04-17 11:48:00,"421 2nd St, Los Angeles, CA 90001",April,4
176737,Apple Airpods Headphones,1,150.0,2019-04-07 01:28:00,"109 Center St, Los Angeles, CA 90001",April,4
176738,AA Batteries (4-pack),1,3.84,2019-04-03 13:17:00,"661 Center St, San Francisco, CA 94016",April,4
176739,34in Ultrawide Monitor,1,379.99,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",April,4
176739,Google Phone,1,600.0,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",April,4
176740,Bose SoundSport Headphones,1,99.99,2019-04-24 15:10:00,"699 Washington St, Dallas, TX 75001",April,4
176741,USB-C Charging Cable,1,11.95,2019-04-29 18:49:00,"990 Ridge St, San Francisco, CA 94016",April,4
176742,Wired Headphones,1,11.99,2019-04-17 09:54:00,"115 Forest St, Los Angeles, CA 90001",April,4
176743,27in 4K Gaming Monitor,1,389.99,2019-04-01 09:17:00,"570 11th St, Atlanta, GA 30301",April,4
176744,Lightning Charging Cable,1,14.95,2019-04-14 19:59:00,"937 Maple St, Los Angeles, CA 90001",April,4
176745,Wired Headphones,1,11.99,2019-04-24 09:23:00,"461 Adams St, Los Angeles, CA 90001",April,4
176746,27in 4K Gaming Monitor,1,389.99,2019-04-08 19:04:00,"638 Park St, Seattle, WA 98101",April,4
176747,Macbook Pro Laptop,1,1700.0,2019-04-27 15:04:00,"645 7th St, San Francisco, CA 94016",April,4
176748,Flatscreen TV,1,300.0,2019-04-24 15:28:00,"339 13th St, Boston, MA 02215",April,4
176749,ThinkPad Laptop,1,999.99,2019-04-26 07:55:00,"322 Adams St, Seattle, WA 98101",April,4
176750,AA Batteries (4-pack),1,3.84,2019-04-13 23:52:00,"255 Cedar St, Austin, TX 73301",April,4
176751,AAA Batteries (4-pack),1,2.99,2019-04-18 13:01:00,"258 4th St, San Francisco, CA 94016",April,4
176752,AA Batteries (4-pack),1,3.84,2019-04-13 23:59:00,"665 Wilson St, San Francisco, CA 94016",April,4
176753,USB-C Charging Cable,1,11.95,2019-04-01 23:07:00,"496 Adams St, Atlanta, GA 30301",April,4
176754,34in Ultrawide Monitor,1,379.99,2019-04-02 17:07:00,"288 Forest St, Los Angeles, CA 90001",April,4
176755,27in 4K Gaming Monitor,1,389.99,2019-04-09 16:21:00,"825 Madison St, Seattle, WA 98101",April,4
176756,27in FHD Monitor,1,149.99,2019-04-05 17:06:00,"348 Lake St, New York City, NY 10001",April,4
176757,AA Batteries (4-pack),1,3.84,2019-04-11 20:28:00,"79 Hickory St, Portland, OR 97035",April,4
176758,34in Ultrawide Monitor,1,379.99,2019-04-18 21:26:00,"166 Highland St, San Francisco, CA 94016",April,4
176759,Lightning Charging Cable,1,14.95,2019-04-06 12:46:00,"864 Main St, Los Angeles, CA 90001",April,4
176760,Wired Headphones,1,11.99,2019-04-02 20:32:00,"813 Highland St, San Francisco, CA 94016",April,4
176761,Apple Airpods Headphones,1,150.0,2019-04-26 20:00:00,"830 2nd St, San Francisco, CA 94016",April,4
176762,AA Batteries (4-pack),1,3.84,2019-04-18 14:06:00,"977 1st St, Seattle, WA 98101",April,4
176763,USB-C Charging Cable,1,11.95,2019-04-25 13:36:00,"638 Johnson St, San Francisco, CA 94016",April,4
176764,Wired Headphones,1,11.99,2019-04-16 19:52:00,"652 Center St, Atlanta, GA 30301",April,4
176765,USB-C Charging Cable,1,11.95,2019-04-14 20:44:00,"729 Ridge St, San Francisco, CA 94016",April,4
176766,AA Batteries (4-pack),2,3.84,2019-04-21 19:52:00,"84 Johnson St, Boston, MA 02215",April,4
176767,27in 4K Gaming Monitor,1,389.99,2019-04-09 14:18:00,"205 4th St, Atlanta, GA 30301",April,4
176768,Wired Headphones,1,11.99,2019-04-04 00:03:00,"643 Spruce St, Los Angeles, CA 90001",April,4
176769,AA Batteries (4-pack),1,3.84,2019-04-29 14:14:00,"206 10th St, San Francisco, CA 94016",April,4
176770,Wired Headphones,1,11.99,2019-04-08 17:38:00,"345 Church St, San Francisco, CA 94016",April,4
176771,Lightning Charging Cable,1,14.95,2019-04-24 17:40:00,"403 11th St, New York City, NY 10001",April,4
176772,AA Batteries (4-pack),1,3.84,2019-04-10 21:48:00,"426 14th St, New York City, NY 10001",April,4
176773,AAA Batteries (4-pack),2,2.99,2019-04-25 20:07:00,"30 9th St, Portland, ME 04101",April,4
176774,Lightning Charging Cable,1,14.95,2019-04-25 15:06:00,"372 Church St, Los Angeles, CA 90001",April,4
176774,USB-C Charging Cable,1,11.95,2019-04-25 15:06:00,"372 Church St, Los Angeles, CA 90001",April,4
176775,USB-C Charging Cable,2,11.95,2019-04-01 20:56:00,"975 Forest St, San Francisco, CA 94016",April,4
176776,Bose SoundSport Headphones,1,99.99,2019-04-24 23:28:00,"613 Washington St, Seattle, WA 98101",April,4
176777,Apple Airpods Headphones,1,150.0,2019-04-14 16:53:00,"163 Jackson St, Portland, OR 97035",April,4
176778,34in Ultrawide Monitor,1,379.99,2019-04-12 17:46:00,"201 Madison St, San Francisco, CA 94016",April,4
176779,27in FHD Monitor,1,149.99,2019-04-04 16:46:00,"351 Park St, Atlanta, GA 30301",April,4
176780,Lightning Charging Cable,1,14.95,2019-04-18 23:51:00,"52 Walnut St, New York City, NY 10001",April,4
176781,iPhone,1,700.0,2019-04-03 07:37:00,"976 Hickory St, Dallas, TX 75001",April,4
176781,Lightning Charging Cable,1,14.95,2019-04-03 07:37:00,"976 Hickory St, Dallas, TX 75001",April,4
176782,Apple Airpods Headphones,1,150.0,2019-04-22 13:42:00,"993 13th St, San Francisco, CA 94016",April,4
176783,Apple Airpods Headphones,1,150.0,2019-04-05 11:40:00,"926 North St, San Francisco, CA 94016",April,4
176784,AAA Batteries (4-pack),1,2.99,2019-04-08 10:14:00,"725 Madison St, Los Angeles, CA 90001",April,4
176785,Bose SoundSport Headphones,1,99.99,2019-04-03 15:39:00,"533 Ridge St, Los Angeles, CA 90001",April,4
176786,20in Monitor,1,109.99,2019-04-06 16:40:00,"701 North St, San Francisco, CA 94016",April,4
176787,Google Phone,1,600.0,2019-04-14 10:10:00,"180 Pine St, Los Angeles, CA 90001",April,4
176788,Bose SoundSport Headphones,1,99.99,2019-04-15 04:39:00,"200 North St, New York City, NY 10001",April,4
176789,Lightning Charging Cable,1,14.95,2019-04-21 20:15:00,"990 Meadow St, San Francisco, CA 94016",April,4
176790,AAA Batteries (4-pack),1,2.99,2019-04-28 12:07:00,"689 9th St, Austin, TX 73301",April,4
176791,Google Phone,1,600.0,2019-04-21 11:43:00,"908 Jackson St, Los Angeles, CA 90001",April,4
176792,27in 4K Gaming Monitor,1,389.99,2019-04-30 19:29:00,"772 11th St, Atlanta, GA 30301",April,4
176793,Wired Headphones,1,11.99,2019-04-17 17:09:00,"147 South St, San Francisco, CA 94016",April,4
176794,Lightning Charging Cable,1,14.95,2019-04-10 21:40:00,"425 Adams St, Dallas, TX 75001",April,4
